last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Cooper,Amanda,Amanda Cooper,ABC,"5' 3""",115 lbs.,"64.0""",Switch,3,5,0,FALSE,USA,31,FALSE
Cope,Kit,Kit Cope,Havoc,"6' 0""",170 lbs.,--,Orthodox,6,7,0,FALSE,USA,27,FALSE
Cope,Chris,Chris Cope,C-Murder,"6' 0""",170 lbs.,"72.0""",Orthodox,8,4,0,FALSE,USA,27,FALSE
Copeland,Josh,Josh Copeland,Cuddly Bear,"6' 1""",265 lbs.,--,Orthodox,12,4,0,FALSE,USA,34,FALSE
Cora,Michael,Michael Cora,Kookie Monster,"6' 1""",170 lbs.,"77.0""",Southpaw,4,1,0,FALSE,USA,27,FALSE
Corassani,Akira,Akira Corassani,,"5' 8""",145 lbs.,"68.0""",Orthodox,12,6,0,FALSE,SWE,#N/A,FALSE
Corbbrey,Muhsin,Muhsin Corbbrey,,"5' 10""",155 lbs.,--,Orthodox,17,9,0,FALSE,USA,29,FALSE
Cormier,Daniel,Daniel Cormier,DC,"5' 11""",235 lbs.,"72.0""",Orthodox,22,3,0,TRUE,USA,31,FALSE
Cornolle,Nora,Nora Cornolle,,--,135 lbs.,--,,6,1,0,FALSE,PHI,29,FALSE
Coronel,Clint,Clint Coronel,,--,155 lbs.,--,,2,5,0,FALSE,USA,27,FALSE
Corrales,Henry,Henry Corrales,,"5' 9""",145 lbs.,--,,13,3,0,FALSE,USA,31,FALSE
Correia,Bethe,Bethe Correia,Pitbull,"5' 5""",135 lbs.,"64.0""",Orthodox,11,6,1,FALSE,BRA,31,FALSE
Correira,Wesley,Wesley Correira,Cabbage,"6' 3""",260 lbs.,--,Orthodox,20,16,0,FALSE,USA,28,FALSE
Cortes-Acosta,Waldo,Waldo Cortes-Acosta,Salsa Boy,"6' 4""",260 lbs.,"78.0""",Orthodox,9,1,0,FALSE,USA,28,FALSE
Cortez,Tracy,Tracy Cortez,,"5' 5""",125 lbs.,"65.0""",Orthodox,10,1,0,FALSE,USA,28,TRUE
Cortez,Reyes,Reyes Cortez,JR,"5' 7""",135 lbs.,"68.0""",Orthodox,5,2,0,FALSE,PHI,29,FALSE
Corvin,Chad,Chad Corvin,The Brave Warrior,"6' 5""",255 lbs.,--,,5,0,0,FALSE,BRA,31,FALSE
Cosce,Louis,Louis Cosce,,"5' 9""",170 lbs.,"71.0""",Orthodox,7,2,0,FALSE,USA,27,FALSE
Cosce,Orion,Orion Cosce,Galaxy,"5' 11""",170 lbs.,"71.0""",Switch,8,2,0,FALSE,USA,29,FALSE
Cosio,Miguel,Miguel Cosio,,"6' 4""",205 lbs.,--,,1,13,0,FALSE,BIH,27,FALSE
Costa,Jadson,Jadson Costa,,"5' 7""",155 lbs.,--,Orthodox,22,8,0,FALSE,BRA,31,FALSE
Costa,Guilherme,Guilherme Costa,The Prodigy,--,155 lbs.,--,,7,1,0,FALSE,BRA,31,FALSE
Costa,Paulo,Paulo Costa,The Eraser,"6' 1""",185 lbs.,"72.0""",Orthodox,14,2,0,FALSE,BRA,29,TRUE
Costa,Randy,Randy Costa,The Zohan,"5' 9""",135 lbs.,"73.0""",Switch,6,4,0,FALSE,BRA,29,TRUE
Costa,Alessandro,Alessandro Costa,Nono,"5' 4""",125 lbs.,"67.0""",Orthodox,13,3,0,FALSE,MEX,#N/A,FALSE
Costa,Melquizael,Melquizael Costa,Melk Cauthy,"5' 10""",145 lbs.,"71.0""",Southpaw,19,6,0,FALSE,BRA,27,FALSE
Costa,Davi,Davi Costa,O Black,--,125 lbs.,--,,14,3,0,FALSE,USA,31,FALSE
Cota,Oscar,Oscar Cota,Elevation,"6' 0""",230 lbs.,"72.0""",Orthodox,11,3,0,FALSE,MEX,29,FALSE
Cote,Patrick,Patrick Cote,The Predator,"5' 11""",170 lbs.,"75.0""",Orthodox,23,11,0,FALSE,CAN,29,FALSE
Cottrell,JC,JC Cottrell,,"5' 9""",155 lbs.,--,Orthodox,17,5,0,FALSE,USA,31,FALSE
Coughran,JR,JR Coughran,Bam Bam,"5' 6""",145 lbs.,--,Orthodox,4,1,0,FALSE,USA,34,FALSE
Coulter,Rashad,Rashad Coulter,Daywalker,"5' 11""",205 lbs.,"76.0""",Orthodox,9,4,0,FALSE,USA,29,FALSE
Courchaine,Dave,Dave Courchaine,,"5' 8""",170 lbs.,--,,20,7,0,FALSE,USA,31,FALSE
Couture,Randy,Randy Couture,The Natural,"6' 1""",205 lbs.,"75.0""",Orthodox,19,11,0,TRUE,USA,29,FALSE
Couture,Kim,Kim Couture,Sugar Free,"5' 8""",135 lbs.,--,Orthodox,3,8,0,FALSE,USA,27,FALSE
Couture,Ryan,Ryan Couture,,"5' 10""",155 lbs.,"73.0""",Orthodox,11,5,0,FALSE,USA,29,FALSE
Covert,Nikk,Nikk Covert,The Brick,"5' 8""",185 lbs.,--,,3,4,0,FALSE,MEX,29,FALSE
Covington,Colby,Colby Covington,Chaos,"5' 11""",170 lbs.,"72.0""",Orthodox,17,3,0,FALSE,USA,31,FALSE
Cowan,Hailey,Hailey Cowan,All Hail,"5' 8""",135 lbs.,"67.0""",Southpaw,7,3,0,FALSE,USA,31,FALSE
Cox,Jeff,Jeff Cox,The Grinder,"5' 10""",155 lbs.,--,Orthodox,10,7,0,FALSE,USA,31,FALSE
Coy,Nathan,Nathan Coy,Soulforce,"5' 10""",170 lbs.,"69.0""",Southpaw,15,7,0,FALSE,USA,29,FALSE
Craig,Andrew,Andrew Craig,Highlight,"6' 1""",170 lbs.,"76.0""",Orthodox,9,4,0,FALSE,USA,31,FALSE
Craig,Paul,Paul Craig,Bearjew,"6' 3""",185 lbs.,"76.0""",Orthodox,16,6,1,FALSE,SCT,29,TRUE
Cramer,Dan,Dan Cramer,,"6' 2""",170 lbs.,--,Orthodox,11,4,0,FALSE,USA,31,FALSE
Crane,Alberto,Alberto Crane,,"5' 5""",155 lbs.,--,Orthodox,15,5,0,FALSE,USA,#N/A,FALSE
Credeur,Tim,Tim Credeur,,"6' 3""",185 lbs.,"75.0""",Orthodox,12,4,0,FALSE,USA,28,FALSE
Creighton,Paul,Paul Creighton,,"5' 6""",155 lbs.,--,Southpaw,3,1,0,FALSE,USA,29,FALSE
Crevar,Helena,Helena Crevar,,--,--,--,,0,0,0,FALSE,USA,31,FALSE
Crispim,Alexander,Alexander Crispim,,--,145 lbs.,--,,8,6,0,FALSE,ROM,#N/A,FALSE
Crispin,Alex,Alex Crispin,,--,155 lbs.,--,,0,1,0,FALSE,ROM,#N/A,FALSE
Croom,Kevin,Kevin Croom,Crash,"5' 11""",135 lbs.,"73.0""",Orthodox,21,15,0,FALSE,USA,27,FALSE
Cross,Ken,Ken Cross,The Boss,"6' 0""",155 lbs.,"72.0""",Southpaw,11,3,0,FALSE,ENG,27,FALSE
Crotty,Jeff,Jeff Crotty,,--,155 lbs.,--,,1,1,0,FALSE,ENG,31,FALSE
Crowder,Allen,Allen Crowder,Pretty Boy,"6' 3""",245 lbs.,"76.0""",Orthodox,10,4,0,FALSE,USA,31,FALSE
Cruickshank,Daron,Daron Cruickshank,Detroit Superstar,"5' 8""",155 lbs.,"72.0""",Switch,18,10,0,FALSE,USA,31,FALSE
Crunkilton,Richard,Richard Crunkilton,Cleat,"5' 7""",155 lbs.,--,Orthodox,19,4,0,FALSE,USA,29,FALSE
Crute,Jimmy,Jimmy Crute,,"6' 2""",205 lbs.,"74.0""",Orthodox,12,3,1,FALSE,AUS,31,TRUE
Cruz,Marcio,Marcio Cruz,Pe de Pano,"6' 4""",232 lbs.,--,Orthodox,8,3,0,FALSE,BRA,27,FALSE
Cruz,Dominick,Dominick Cruz,The Dominator,"5' 8""",135 lbs.,"68.0""",Orthodox,24,4,0,TRUE,USA,31,FALSE
Cruz,Aalon,Aalon Cruz,,"6' 0""",145 lbs.,"78.0""",Switch,8,4,0,FALSE,USA,#N/A,FALSE
Cuamba,Timothy,Timothy Cuamba,Twilight Timmy,--,145 lbs.,--,,6,1,0,FALSE,CAN,28,FALSE
Cucciniello,Jay,Jay Cucciniello,,"5' 7""",155 lbs.,--,Orthodox,8,1,0,FALSE,ENG,31,FALSE
Cuellar,Emilio,Emilio Cuellar,Show Kid,--,125 lbs.,--,,6,1,0,FALSE,MEX,31,FALSE
Culibao,Josh,Josh Culibao,Kuya,"5' 10""",145 lbs.,"73.0""",Orthodox,11,1,1,FALSE,AUS,34,FALSE
Culley,Chris,Chris Culley,,--,145 lbs.,--,,20,15,0,FALSE,USA,27,FALSE
Cullum,Abel,Abel Cullum,The Silent Assassin,"5' 7""",139 lbs.,--,Orthodox,20,6,0,FALSE,USA,#N/A,FALSE
Cummings,Zak,Zak Cummings,,"6' 0""",205 lbs.,"75.0""",Southpaw,25,7,0,FALSE,USA,28,TRUE
Cummings,Everett,Everett Cummings,,--,205 lbs.,--,,12,0,0,FALSE,USA,31,FALSE
Cummins,Patrick,Patrick Cummins,Durkin,"6' 2""",205 lbs.,"76.0""",Orthodox,10,7,0,FALSE,USA,29,FALSE
Cummo,Luke,Luke Cummo,,"6' 0""",170 lbs.,"74.0""",Orthodox,6,6,0,FALSE,USA,27,FALSE
Cunha,Hugo,Hugo Cunha,Silverback,"6' 4""",250 lbs.,--,,6,0,0,FALSE,BRA,31,FALSE
Cunningham,Alton,Alton Cunningham,The Bo-Man,"6' 2""",205 lbs.,"77.0""",Orthodox,4,2,0,FALSE,USA,31,FALSE
Cunningham,AJ,AJ Cunningham,The Savage,--,145 lbs.,--,,10,2,0,FALSE,BRA,#N/A,FALSE
Curatolo,Santo,Santo Curatolo,,"5' 3""",125 lbs.,"62.0""",Southpaw,6,2,0,FALSE,USA,29,FALSE
Cureton,Larry,Larry Cureton,,"6' 2""",240 lbs.,--,Orthodox,0,2,0,FALSE,USA,27,FALSE
Curran,Jeff,Jeff Curran,Big Frog,"5' 6""",135 lbs.,"69.0""",Orthodox,36,18,1,FALSE,USA,31,FALSE
Curran,Kailin,Kailin Curran,,"5' 4""",115 lbs.,"65.0""",Orthodox,4,5,0,FALSE,USA,34,FALSE
Curran,Pat,Pat Curran,Paddy Mike,"5' 9""",145 lbs.,--,,22,7,0,FALSE,USA,29,FALSE
Curtis,Chris,Chris Curtis,Action-Man,"5' 10""",185 lbs.,"75.0""",Orthodox,30,10,0,FALSE,USA,27,TRUE
Cutelaba,Ion,Ion Cutelaba,The Hulk,"6' 1""",205 lbs.,"75.0""",Southpaw,17,9,1,FALSE,MDA,31,FALSE
Cutis,Gleidson,Gleidson Cutis,Poney,"5' 9""",155 lbs.,--,Orthodox,7,4,0,FALSE,BRA,31,FALSE
D'alelio,Sarah,Sarah D'alelio,The Monster,"5' 7""",145 lbs.,--,,11,7,0,FALSE,DEN,29,FALSE
da Matta,Marcos,Marcos da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,11,3,0,FALSE,USA,27,FALSE
da Silva,Henrique,Henrique da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,14,5,0,FALSE,BRA,31,FALSE
Da Silva,Alex,Alex Da Silva,Leko,"5' 8""",155 lbs.,"73.0""",Orthodox,21,4,0,FALSE,BRA,#N/A,FALSE
Da Silva,Igor,Igor Da Silva,,--,125 lbs.,--,,7,0,0,FALSE,BRA,31,FALSE
Da Silva Lopes,Henrique,Henrique Da Silva Lopes,Montanha,"6' 3""",240 lbs.,--,,5,2,0,FALSE,BRA,31,FALSE
Zhawupasi,Daermisi,Daermisi Zhawupasi,,"5' 8""",135 lbs.,"68.0""",Switch,7,0,0,FALSE,CHN,31,FALSE
Dalby,Nicolas,Nicolas Dalby,Danish Dynamite,"5' 11""",170 lbs.,"74.0""",Orthodox,22,4,1,FALSE,DEN,29,FALSE
Daley,Paul,Paul Daley,Semtex,"5' 9""",170 lbs.,"76.0""",Orthodox,39,15,2,FALSE,ENG,29,FALSE
Dalgliesh,Dave,Dave Dalgliesh,,"6' 2""",205 lbs.,--,Orthodox,30,19,2,FALSE,RUS,31,FALSE
Dalton,Richard,Richard Dalton,,"6' 1""",205 lbs.,--,Orthodox,4,3,1,FALSE,USA,29,FALSE
Daly,Aisling,Aisling Daly,Ais the Bash,"5' 2""",115 lbs.,"64.0""",Orthodox,16,6,0,FALSE,IRL,#N/A,FALSE
Damiani,Marko,Marko Damiani,,"6' 0""",170 lbs.,--,,0,2,0,FALSE,FRA,27,FALSE
Damiani,Leonardo,Leonardo Damiani,Puppy,"5' 10""",170 lbs.,"69.0""",Orthodox,10,3,1,FALSE,FRA,27,FALSE
Damm,Rodrigo,Rodrigo Damm,,"5' 7""",155 lbs.,"71.0""",Orthodox,13,9,0,FALSE,BRA,29,FALSE
Damm,Carina,Carina Damm,Beauty But the Beast,"5' 4""",135 lbs.,--,,2,13,0,FALSE,BRA,31,FALSE
Danaa,Batgerel,Batgerel Danaa,Storm,"5' 7""",135 lbs.,"70.0""",Orthodox,12,5,0,FALSE,MGL,31,FALSE
Dandois,Cindy,Cindy Dandois,Battlecat,"5' 7""",135 lbs.,--,Orthodox,8,3,0,FALSE,BEL,27,FALSE
Danesoe,Peter,Peter Danesoe,The Asian Viking,"5' 9""",125 lbs.,"68.0""",Orthodox,6,2,0,FALSE,BEL,29,FALSE
Danho,Jarjis,Jarjis Danho,Man Mountain,"6' 3""",265 lbs.,"74.0""",Orthodox,7,1,1,FALSE,BEL,31,TRUE
Daniels,Raymond,Raymond Daniels,,"6' 2""",185 lbs.,--,Southpaw,0,1,0,FALSE,USA,29,FALSE
Daniels,Marques,Marques Daniels,,--,155 lbs.,--,,5,5,0,FALSE,USA,27,FALSE
Dantas,Alexandre,Alexandre Dantas,Cafe,"6' 2""",238 lbs.,--,Orthodox,0,3,0,FALSE,KGZ,31,FALSE
Dantas,Eduardo,Eduardo Dantas,Dudu,"5' 10""",135 lbs.,--,,20,4,0,FALSE,BRA,31,FALSE
Danzig,Mac,Mac Danzig,,"5' 8""",155 lbs.,"70.0""",Orthodox,21,12,1,FALSE,USA,27,FALSE
Darabedyan,Karen,Karen Darabedyan,,"5' 7""",155 lbs.,"68.0""",Orthodox,13,6,0,FALSE,USA,34,FALSE
Dariush,Beneil,Beneil Dariush,,"5' 10""",155 lbs.,"72.0""",Southpaw,22,5,1,FALSE,IRI,31,TRUE
Daugherty,Sean,Sean Daugherty,,"6' 0""",175 lbs.,--,,0,2,0,FALSE,JPN,29,FALSE
Daukaus,Kyle,Kyle Daukaus,,"6' 3""",185 lbs.,"76.0""",Southpaw,11,4,0,FALSE,USA,27,TRUE
Daukaus,Chris,Chris Daukaus,,"6' 3""",205 lbs.,"76.0""",Orthodox,12,6,0,FALSE,JPN,27,TRUE
Davidson,Brian,Brian Davidson,,"5' 6""",145 lbs.,--,,13,4,0,FALSE,USA,31,FALSE
Davis,Rick,Rick Davis,The Flying Squirrel,"5' 9""",155 lbs.,--,Orthodox,3,1,1,FALSE,USA,29,FALSE
Davis,Marcus,Marcus Davis,The Irish Hand Grenade,"5' 10""",170 lbs.,"70.0""",Southpaw,22,11,0,FALSE,USA,27,FALSE
Davis,LC,LC Davis,,"5' 8""",135 lbs.,"69.0""",Southpaw,23,8,0,FALSE,USA,27,FALSE
Davis,Phil,Phil Davis,Mr. Wonderful,"6' 2""",205 lbs.,"79.0""",Orthodox,17,4,0,FALSE,USA,29,FALSE
Davis,Lemont,Lemont Davis,,"5' 8""",170 lbs.,--,Orthodox,2,6,0,FALSE,USA,27,FALSE
Davis,Mike,Mike Davis,,--,--,--,,2,0,0,FALSE,USA,27,TRUE
Davis,Justin,Justin Davis,Dangerous,"5' 11""",205 lbs.,--,,13,16,0,FALSE,USA,34,FALSE
Davis,Alexis,Alexis Davis,,"5' 6""",135 lbs.,"68.0""",Orthodox,21,11,0,FALSE,CAN,31,FALSE
Davis,Danny,Danny Davis,,"6' 2""",170 lbs.,--,,13,11,1,FALSE,USA,31,FALSE
Davis,Brandon,Brandon Davis,Killer B,"5' 10""",135 lbs.,"72.0""",Orthodox,14,10,0,FALSE,USA,31,TRUE
Davis,Mike,Mike Davis,Beast Boy,"6' 0""",155 lbs.,"72.0""",Orthodox,10,2,0,FALSE,USA,27,TRUE
Dawodu,Hakeem,Hakeem Dawodu,Mean,"5' 8""",145 lbs.,"73.0""",Orthodox,13,3,1,FALSE,CAN,31,TRUE
Dawson,Grant,Grant Dawson,KGD,"5' 10""",155 lbs.,"72.0""",Switch,20,1,1,FALSE,USA,31,TRUE
Day,Jason,Jason Day,Dooms,"6' 0""",185 lbs.,"72.0""",Orthodox,19,12,0,FALSE,USA,31,FALSE
Day,Martin,Martin Day,The Spartan,"5' 10""",145 lbs.,"73.0""",Orthodox,8,6,0,FALSE,USA,27,FALSE
De Anda,Angel,Angel De Anda,The Dream,"5' 9""",225 lbs.,--,Orthodox,18,6,0,FALSE,USA,31,FALSE
De Castro,Yorgan,Yorgan De Castro,The Mad Titan,"6' 0""",250 lbs.,"74.0""",Orthodox,6,3,0,FALSE,CPV,28,FALSE
de Freitas,Geraldo,Geraldo de Freitas,Spartan,"5' 7""",135 lbs.,"72.0""",Orthodox,12,6,0,FALSE,BRA,31,FALSE
De Fries,Philip,Philip De Fries,,"6' 5""",250 lbs.,"79.0""",Orthodox,12,6,0,FALSE,ENG,29,FALSE
de la Rocha,Chris,Chris de la Rocha,,"6' 3""",250 lbs.,"80.0""",Orthodox,5,3,0,FALSE,USA,27,FALSE
De La Rosa,Montana,Montana De La Rosa,,"5' 7""",125 lbs.,"68.0""",Orthodox,12,8,1,FALSE,USA,29,TRUE
De La Rosa,Mark,Mark De La Rosa,Bumblebee,"5' 6""",135 lbs.,"65.0""",Orthodox,11,5,0,FALSE,USA,27,FALSE
de la Torre,Mike,Mike de la Torre,El Cucuy,"5' 11""",145 lbs.,"71.0""",Orthodox,14,7,0,FALSE,USA,27,FALSE
de Lima,Rodrigo,Rodrigo de Lima,Monstro,"5' 7""",155 lbs.,--,Orthodox,8,3,1,FALSE,BRA,29,FALSE
de Oliveira,Edilberto,Edilberto de Oliveira,Crocota,"6' 0""",170 lbs.,--,Orthodox,29,15,2,FALSE,BRA,31,FALSE
de Oliveira,Johil,Johil de Oliveira,,"5' 6""",170 lbs.,--,Orthodox,17,15,1,FALSE,BRA,34,FALSE
de Oliveira,Jorge,Jorge de Oliveira,Blade,"5' 8""",155 lbs.,--,Orthodox,9,2,0,FALSE,BRA,34,FALSE
de Padua,Isabela,Isabela de Padua,Belinha,"5' 3""",125 lbs.,"64.0""",Orthodox,5,2,0,FALSE,BRA,31,FALSE
de Paula,Gloria,Gloria de Paula,Glorinha,"5' 5""",115 lbs.,"67.0""",Orthodox,6,5,0,FALSE,BRA,31,FALSE
de Randamie,Germaine,Germaine de Randamie,The Iron Lady,"5' 9""",135 lbs.,"71.0""",Orthodox,10,4,0,TRUE,NED,31,FALSE
de Souza,Crezio,Crezio de Souza,,--,170 lbs.,--,Orthodox,1,2,0,FALSE,BRA,31,FALSE
Deaton,Carl,Carl Deaton,The Anishinaabe Kid,"5' 7""",155 lbs.,"69.0""",Orthodox,17,6,0,FALSE,USA,31,FALSE
DeBlass,Tom,Tom DeBlass,,"6' 0""",185 lbs.,--,Orthodox,9,2,0,FALSE,USA,28,FALSE
DeJesus,Issac,Issac DeJesus,,--,145 lbs.,--,,12,7,1,FALSE,USA,31,FALSE
Del Real,Rafael,Rafael Del Real,,"5' 11""",225 lbs.,--,,6,20,0,FALSE,ITA,29,FALSE
del Rosario,Shane,Shane del Rosario,,"6' 4""",250 lbs.,--,Southpaw,11,2,0,FALSE,USA,29,FALSE
Del Rosario,Wallen,Wallen Del Rosario,,"5' 4""",125 lbs.,"67.0""",Orthodox,8,2,0,FALSE,PHI,28,FALSE
DeLeon,Humberto,Humberto DeLeon,,--,135 lbs.,--,,7,7,0,FALSE,PHI,31,FALSE
Delgado,Rolando,Rolando Delgado,Roli,"6' 3""",155 lbs.,"77.0""",Orthodox,11,6,1,FALSE,PHI,29,FALSE
Delgado,Israel,Israel Delgado,,"5' 10""",155 lbs.,--,,0,2,0,FALSE,PHI,31,FALSE
Delija,Ante,Ante Delija,Walking Trouble,"6' 4""",245 lbs.,--,Orthodox,17,3,0,FALSE,PHI,31,FALSE
Della Maddalena,Jack,Jack Della Maddalena,,"5' 11""",170 lbs.,"73.0""",Switch,14,2,0,FALSE,AUS,31,FALSE
Delorme,Roland,Roland Delorme,,"5' 9""",135 lbs.,"71.0""",Orthodox,9,5,0,FALSE,CAN,29,FALSE
Delos Reyes,Jon,Jon Delos Reyes,The Heat,"5' 6""",125 lbs.,"67.0""",Orthodox,8,5,0,FALSE,GUM,34,FALSE
DeLucia,Jason,Jason DeLucia,,"5' 11""",190 lbs.,--,Southpaw,33,21,1,FALSE,USA,31,FALSE
DeMoney,Justin,Justin DeMoney,,--,170 lbs.,--,,15,7,1,FALSE,USA,34,FALSE
Demopoulos,Vanessa,Vanessa Demopoulos,Lil Monster,"5' 2""",115 lbs.,"59.0""",Orthodox,9,5,0,FALSE,USA,28,TRUE
Dempsey,Chris,Chris Dempsey,,"5' 10""",185 lbs.,"72.0""",Orthodox,11,5,0,FALSE,USA,27,FALSE
Denis,Nick,Nick Denis,The Ninja of Love,"5' 7""",135 lbs.,--,Orthodox,11,3,0,FALSE,CAN,29,FALSE
Deniz,Jhonata,Jhonata Deniz,,--,--,--,,5,0,0,FALSE,LAT,31,FALSE
Denny,Thomas,Thomas Denny,The Wildman,"5' 10""",170 lbs.,--,Orthodox,27,21,1,FALSE,USA,28,FALSE
Densley,Robert,Robert Densley,The Wrecker,"5' 9""",155 lbs.,--,,9,10,0,FALSE,USA,29,FALSE
Dent,Jason,Jason Dent,Dynamite,"5' 10""",155 lbs.,"71.0""",Orthodox,22,13,0,FALSE,USA,31,FALSE
Dern,Mackenzie,Mackenzie Dern,,"5' 4""",115 lbs.,"63.0""",Orthodox,13,3,0,FALSE,USA,27,TRUE
DeRousse,Booker,Booker DeRousse,,"6' 2""",205 lbs.,--,,6,5,0,FALSE,FRA,31,FALSE
DeSouza,Tony,Tony DeSouza,,"6' 0""",170 lbs.,"70.0""",Southpaw,11,4,0,FALSE,PER,28,FALSE
Devela,Cory,Cory Devela,The One,"5' 0""",185 lbs.,--,Orthodox,16,7,0,FALSE,USA,31,FALSE
Devine,John,John Devine,,--,--,--,,6,4,0,FALSE,ENG,34,FALSE
DeWees,Edwin,Edwin DeWees,Babyface,"6' 1""",185 lbs.,--,Orthodox,38,17,0,FALSE,ENG,31,FALSE
Di Chirico,Alessio,Alessio Di Chirico,Manzo,"6' 0""",185 lbs.,"74.0""",Orthodox,13,7,0,FALSE,ITA,#N/A,TRUE
Di Segni,Micol,Micol Di Segni,,"5' 3""",115 lbs.,"60.0""",Orthodox,7,3,0,FALSE,BRA,27,FALSE
Diabate,Cyrille,Cyrille Diabate,The Snake,"6' 6""",205 lbs.,"81.0""",Southpaw,19,10,1,FALSE,FRA,31,FALSE
Diagne,Thomas,Thomas Diagne,,"6' 1""",154 lbs.,--,,6,6,1,FALSE,FRA,28,FALSE
Diakiese,Marc,Marc Diakiese,Bonecrusher,"5' 10""",155 lbs.,"73.0""",Orthodox,16,6,0,FALSE,ENG,27,TRUE
Diamond,Tyler,Tyler Diamond,,"5' 7""",145 lbs.,"69.0""",Orthodox,9,1,0,FALSE,USA,28,FALSE
Diamond,Blood,Blood Diamond,,"5' 11""",170 lbs.,"76.0""",Switch,3,2,0,FALSE,ENG,31,FALSE
Dias,Eldo Xavier,Eldo Xavier Dias,,"5' 11""",180 lbs.,--,,0,1,0,FALSE,BRA,31,FALSE
Dias,Rafael,Rafael Dias,,"5' 9""",145 lbs.,--,Orthodox,17,12,2,FALSE,BRA,29,FALSE
Dias,Hacran,Hacran Dias,Barnabe,"5' 8""",155 lbs.,"69.0""",Orthodox,23,6,1,FALSE,BRA,31,FALSE
Diaz,Nick,Nick Diaz,,"6' 1""",170 lbs.,"76.0""",Southpaw,26,10,0,FALSE,USA,29,FALSE
Diaz,Nate,Nate Diaz,,"6' 0""",170 lbs.,"76.0""",Southpaw,22,13,0,FALSE,USA,29,FALSE
Diaz,Michael,Michael Diaz,,--,260 lbs.,--,,1,2,0,FALSE,USA,27,FALSE
Diaz,Ryan,Ryan Diaz,,--,145 lbs.,--,,13,14,0,FALSE,ESP,29,FALSE
Diaz,Adrian,Adrian Diaz,,"5' 10""",145 lbs.,--,Southpaw,11,4,1,FALSE,USA,#N/A,FALSE
Diaz,Ozzy,Ozzy Diaz,,"6' 4""",185 lbs.,"79.0""",Orthodox,7,2,0,FALSE,USA,29,FALSE
Dickman,Mark,Mark Dickman,Tricky,"5' 9""",145 lbs.,--,,11,3,0,FALSE,USA,27,FALSE
Diekmann,Josh,Josh Diekmann,The Freight Train,"5' 4""",246 lbs.,--,,15,8,0,FALSE,USA,34,FALSE
Dietz,Kyle,Kyle Dietz,,"5' 8""",135 lbs.,--,Orthodox,5,2,0,FALSE,BRA,27,FALSE
Dikun,Seth,Seth Dikun,,"5' 10""",135 lbs.,"69.0""",Orthodox,9,8,0,FALSE,USA,29,FALSE
Dillashaw,TJ,TJ Dillashaw,,"5' 6""",135 lbs.,"67.0""",Orthodox,18,5,0,FALSE,USA,28,TRUE
Dillon,Ralph,Ralph Dillon,Rage,"6' 2""",205 lbs.,--,Orthodox,0,2,1,FALSE,ENG,29,FALSE
Dimanlig,Drew,Drew Dimanlig,,--,185 lbs.,--,,3,4,0,FALSE,USA,31,FALSE
Diniz,Rodolfo Marques,Rodolfo Marques Diniz,,"5' 6""",135 lbs.,--,,23,9,1,FALSE,BRA,29,FALSE
Dipp,Helio,Helio Dipp,,"6' 5""",185 lbs.,--,Orthodox,6,3,0,FALSE,BUL,31,FALSE
DiSciullo,Rico,Rico DiSciullo,,"5' 8""",135 lbs.,--,Orthodox,9,2,0,FALSE,USA,29,FALSE
Dixon,Matt,Matt Dixon,Magic,"5' 10""",170 lbs.,"75.0""",Switch,9,1,0,FALSE,USA,27,FALSE
Dixon,Melissa,Melissa Dixon,No Mess Mullins,--,135 lbs.,--,,5,0,0,FALSE,USA,27,FALSE
Dixson,John,John Dixson,Big John,"6' 0""",275 lbs.,--,Orthodox,15,22,0,FALSE,USA,34,FALSE
Do,Anthony,Anthony Do,,"5' 4""",125 lbs.,--,,4,2,0,FALSE,BRA,31,FALSE
Doane,Russell,Russell Doane,,"5' 7""",135 lbs.,"70.0""",Orthodox,15,8,0,FALSE,USA,29,FALSE
Dober,Drew,Drew Dober,,"5' 8""",155 lbs.,"70.0""",Southpaw,26,12,0,FALSE,USA,31,TRUE
Dobson,Shana,Shana Dobson,Danger,"5' 6""",125 lbs.,"69.0""",Orthodox,4,5,0,FALSE,USA,29,FALSE
Dobson,AJ,AJ Dobson,,"6' 1""",185 lbs.,"76.0""",Orthodox,6,2,0,FALSE,USA,#N/A,FALSE
Dodd,David,David Dodd,,"6' 2""",200 lbs.,--,Orthodox,4,7,0,FALSE,PHI,31,FALSE
Dodson,John,John Dodson,The Magician,"5' 3""",135 lbs.,"66.0""",Orthodox,22,12,0,FALSE,USA,34,FALSE
Doerksen,Joe,Joe Doerksen,El Dirte,"6' 0""",185 lbs.,"75.0""",Orthodox,51,16,0,FALSE,CAN,34,FALSE
Dolce,Mike,Mike Dolce,Skull Cracker,"5' 11""",185 lbs.,--,,5,10,0,FALSE,CAN,27,FALSE
Dolidze,Roman,Roman Dolidze,,"6' 2""",185 lbs.,"76.0""",Orthodox,12,2,0,FALSE,GEO,29,TRUE
Dollar,Cameron,Cameron Dollar,,"5' 11""",155 lbs.,--,Orthodox,11,5,0,FALSE,USA,31,FALSE
Dollaway,CB,CB Dollaway,The Doberman,"6' 2""",185 lbs.,"76.0""",Orthodox,17,9,0,FALSE,USA,31,FALSE
