last,first,full_nm,nickname,ht,wt,reach,stance,w,l,d,belt,country,age_in_2023,active
Albritton,Wes,Wes Albritton,,"5' 10""",188 lbs.,--,Orthodox,0,1,0,FALSE,USA,28,FALSE
Albu,Aleksandra,Aleksandra Albu,Stitch,"5' 2""",115 lbs.,"63.0""",Orthodox,3,2,0,FALSE,USA,#N/A,FALSE
Albuquerque,Israel,Israel Albuquerque,,--,185 lbs.,--,Orthodox,0,3,0,FALSE,BRA,31,FALSE
Alcain,Juan,Juan Alcain,,--,--,--,,1,2,0,FALSE,BRA,34,FALSE
Alcantara,Iuri,Iuri Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",Southpaw,35,10,0,FALSE,BRA,31,FALSE
Alcantara,Ildemar,Ildemar Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",Orthodox,21,11,0,FALSE,BRA,31,FALSE
Alcarez,Alfonso,Alfonso Alcarez,,"5' 3""",145 lbs.,--,,1,3,1,FALSE,BRA,31,FALSE
Aldana,Gilbert,Gilbert Aldana,El Peligro,"6' 1""",250 lbs.,--,Orthodox,6,2,0,FALSE,USA,31,FALSE
Aldana,Irene,Irene Aldana,,"5' 9""",135 lbs.,"68.0""",Orthodox,14,7,0,FALSE,MEX,31,TRUE
Aldana,Hector,Hector Aldana,,"5' 11""",170 lbs.,"72.0""",Orthodox,4,3,0,FALSE,MEX,31,FALSE
Alday,Jose,Jose Alday,Pochito,"5' 7""",135 lbs.,"68.0""",Orthodox,14,6,1,FALSE,MEX,34,FALSE
Aldo,Jose,Jose Aldo,,"5' 7""",135 lbs.,"70.0""",Orthodox,31,8,0,FALSE,BRA,34,FALSE
Aldrich,JJ,JJ Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,11,6,0,FALSE,USA,34,TRUE
Alekseeva,Irina,Irina Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,1,0,FALSE,RUS,31,FALSE
Alencar,Talita,Talita Alencar,,--,115 lbs.,--,,4,0,0,FALSE,BRA,28,FALSE
