full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Pedro Munhoz,The Young Punisher,BRA,29, 5.30, 43, 5.90, 57, 0.51, 20, 81, 0.6
Makhmud Muradov,,UZB,27, 4.35, 42, 2.72, 60, 0.70, 37, 76, 0.2
Kanako Murata,,JPN,34, 2.08, 59, 2.60, 53, 2.40, 40, 0, 1.2
Lauren Murphy,Lucky,USA,27, 4.05, 39, 5.25, 55, 1.03, 25, 69, 0.1
Lerone Murphy,The Miracle,ENG,27, 3.58, 48, 2.64, 55, 0.83, 37, 43, 0.6
Azamat Murzakanov,The Professional,RUS,31, 4.57, 57, 3.12, 57, 0.75, 16, 83, 0.0
Magomed Mustafaev,The Sniper,RUS,27, 2.59, 58, 2.68, 41, 3.31, 50, 23, 0.4
Tyson Nam,,USA,28, 3.49, 32, 5.44, 63, 0.00, 0, 100, 0.0
Rose Namajunas,Thug,USA,29, 3.66, 40, 3.50, 60, 1.61, 57, 60, 0.6
Allan Nascimento,Puro Osso,BRA,31, 3.21, 61, 2.28, 50, 1.55, 26, 16, 0.9
Rodrigo Nascimento,Ze Colmeia,BRA,29, 4.20, 49, 4.60, 40, 1.58, 41, 75, 0.9
Kevin Natividad,Quicksand,USA,27, 2.68, 34, 4.29, 47, 3.66, 50, 83, 0.0
Tafon Nchukwi,Da Don,CMR,28, 6.05, 52, 4.03, 55, 0.94, 57, 71, 0.0
Nicolae Negumereanu,,ROM,29, 3.58, 41, 5.56, 39, 1.02, 28, 62, 0.0
Kyle Nelson,The Monster,CAN,27, 3.06, 45, 4.52, 48, 1.37, 22, 71, 0.8
Journey Newson,,USA,34, 2.64, 32, 2.57, 64, 0.56, 16, 43, 0.3
Matheus Nicolau,,BRA,27, 3.66, 53, 3.14, 66, 1.48, 45, 93, 0.9
Chidi Njokuani,Bang Bang,USA,27, 3.82, 62, 2.62, 56, 0.00, 0, 70, 0.3
Shayilan Nuerdanbieke,Wolverine,GRE,29, 2.28, 45, 2.94, 50, 2.90, 33, 40, 0.0
Amanda Nunes,The Lioness,BRA,31, 4.55, 51, 2.62, 57, 2.73, 54, 82, 0.7
Nina Nunes,,USA,29, 4.39, 45, 3.47, 55, 0.24, 33, 73, 0.5
Istela Nunes,,BRA,31, 5.05, 45, 4.83, 59, 0.00, 0, 53, 0.0
Josiane Nunes,Josi,BRA,34, 7.22, 44, 5.85, 52, 0.00, 0, 70, 0.0
Said Nurmagomedov,,RUS,29, 3.54, 47, 2.15, 56, 1.03, 16, 65, 1.2
Umar Nurmagomedov,,RUS,28, 4.85, 70, 0.73, 75, 4.28, 45, 100, 0.9
Kennedy Nzechukwu,African Savage,NGR,27, 4.89, 46, 4.23, 51, 0.69, 50, 80, 0.3
Sean O'Malley,Sugar,USA,29, 7.43, 60, 3.54, 62, 0.45, 42, 60, 0.5
Casey O'Neill,King,CZE,31, 8.77, 55, 5.90, 58, 1.96, 42, 71, 0.7
Volkan Oezdemir,No Time,SUI,28, 4.53, 47, 3.97, 55, 0.47, 28, 80, 0.0
Trey Ogden,Samurai Ghost,USA,28, 3.42, 41, 4.89, 54, 0.67, 14, 100, 0.7
Charles Oliveira,Do Bronxs,BRA,27, 3.54, 53, 3.19, 51, 2.32, 40, 55, 2.7
Maria Oliveira,Spider-Girl,BRA,27, 5.03, 38, 5.76, 44, 0.95, 44, 47, 0.0
Saimon Oliveira,,BRA,29, 2.82, 41, 3.91, 48, 1.21, 25, 35, 1.6
Gadzhi Omargadzhiev,,RUS,31, 1.80, 39, 2.20, 39, 1.35, 30, 60, 0.5
David Onama,,JPN,31, 5.38, 46, 5.48, 51, 0.87, 18, 45, 0.3
Charlie Ontiveros,American Bad Boy,USA,27, 1.89, 41, 5.86, 31, 0.00, 0, 30, 0.0
Brian Ortega,T-City,USA,31, 4.19, 38, 6.66, 49, 0.95, 23, 56, 1.2
Raulian Paiva,,BRA,29, 4.14, 42, 5.01, 48, 0.65, 23, 77, 0.2
Alexandre Pantoja,The Cannibal,BRA,31, 4.25, 48, 3.38, 54, 1.37, 40, 67, 1.2
Josh Parisian,,USA,34, 4.45, 49, 4.50, 41, 1.05, 33, 48, 0.2
Ramona Pascual,,ROM,29, 3.87, 57, 8.43, 46, 1.81, 19, 100, 0.0
Alan Patrick,Nuguette,BRA,40, 1.82, 40, 2.95, 43, 3.01, 33, 43, 0.3
Sergei Pavlovich,,RUS,29, 8.72, 49, 4.33, 57, 0.00, 0, 75, 0.0
Jonathan Pearce,JSP,USA,34, 6.11, 55, 3.66, 55, 5.74, 56, 59, 0.8
Tyson Pedro,,AUS,28, 2.96, 61, 2.49, 54, 0.97, 36, 52, 1.0
Jessica Penne,,USA,31, 2.52, 31, 4.75, 46, 1.32, 21, 36, 0.6
Raquel Pennington,Rocky,USA,29, 4.02, 50, 3.34, 62, 0.93, 27, 63, 0.6
Alex Pereira,Poatan,BRA,36, 5.23, 59, 3.76, 54, 0.28, 100, 73, 0.0
Alex Perez,,ARU,31, 4.67, 48, 3.14, 60, 2.84, 44, 77, 1.3
Jay Perrin,The Joker,USA,31, 3.71, 46, 3.90, 44, 2.83, 52, 58, 0.0
Steven Peterson,Ocho,USA,28, 4.76, 40, 5.94, 53, 1.42, 26, 64, 0.7
Andre Petroski,,USA,31, 3.64, 55, 2.28, 52, 5.43, 57, 75, 3.4
Armen Petrosyan,Superman,RUS,31, 5.97, 52, 3.03, 56, 0.23, 33, 36, 0.0
Aaron Phillips,The Dragon,USA,33, 1.51, 53, 3.66, 43, 0.86, 50, 44, 0.6
Kyler Phillips,The Matrix,USA,27, 5.50, 49, 3.43, 61, 3.32, 50, 69, 0.7
Vinc Pichel,From Hell,USA,28, 3.56, 47, 2.50, 58, 3.00, 54, 23, 0.2
Jamie Pickett,The Night Wolf,USA,31, 3.16, 50, 4.23, 48, 1.34, 36, 66, 0.2
Paddy Pimblett,The Baddy,ENG,29, 4.19, 46, 3.48, 41, 0.97, 25, 56, 2.4
Daniel Pineda,The Pit,USA,31, 3.09, 49, 3.18, 46, 1.71, 25, 48, 1.7
Luana Pinheiro,,BRA,27, 3.86, 39, 3.67, 63, 2.83, 50, 50, 0.4
Parker Porter,,USA,29, 6.66, 50, 6.34, 51, 1.38, 27, 66, 0.5
Marcin Prachnio,,POL,27, 5.70, 54, 3.26, 55, 0.00, 0, 62, 0.0
Claudio Puelles,Prince of Peru,PER,27, 1.82, 49, 2.93, 47, 2.41, 30, 60, 1.4
Billy Quarantillo,,USA,31, 7.86, 58, 5.79, 40, 1.51, 23, 58, 1.2
Ricardo Ramos,,BRA,29, 3.32, 38, 3.82, 57, 2.58, 58, 72, 0.6
Abdul Razak Alhassan,,CRO,37, 3.54, 48, 4.02, 55, 0.97, 38, 52, 0.0
Elise Reed,,USA,31, 2.95, 50, 3.14, 53, 0.66, 75, 50, 0.0
Dominick Reyes,The Devastator,USA,31, 4.75, 50, 3.77, 48, 0.36, 28, 80, 0.4
Amanda Ribas,,BRA,31, 4.73, 42, 3.24, 64, 2.27, 53, 88, 0.9
Tabatha Ricci,Baby Shark,BRA,28, 4.12, 37, 4.45, 61, 4.23, 48, 66, 0.2
Brad Riddell,Quake,NZL,31, 4.71, 53, 3.53, 53, 1.77, 36, 63, 0.0
Gillian Robertson,The Savage,CAN,31, 2.60, 45, 3.21, 55, 2.46, 41, 43, 0.9
Gregory Rodrigues,Robocop,BRA,31, 6.09, 55, 5.82, 51, 2.20, 50, 100, 0.6
Kleydson Rodrigues,KR,BRA,27, 6.00, 61, 3.00, 49, 0.97, 25, 66, 1.0
Marina Rodriguez,,BRA,27, 4.58, 47, 2.94, 56, 0.17, 33, 64, 0.2
Victor Rodriguez,Vicious,MEX,28, 1.59, 37, 6.11, 50, 0.00, 0, 0, 0.0
Piera Rodriguez,La Fiera,USA,29, 3.46, 46, 2.98, 57, 3.31, 41, 66, 0.0
Christian Rodriguez,,USA,27, 2.89, 43, 1.73, 59, 0.92, 60, 66, 1.2
Marcelo Rojo,Pitbull,ARG,27, 4.92, 39, 6.42, 55, 0.46, 50, 66, 0.0
Juancamilo Ronderos,100,COL,34, 2.18, 30, 2.18, 63, 2.72, 33, 0, 0.0
Jesse Ronson,The Body Snatcher,CAN,31, 3.54, 47, 3.39, 57, 0.46, 28, 57, 0.5
Charles Rosa,Boston Strong,USA,27, 3.08, 36, 3.86, 47, 1.67, 35, 38, 1.0
Karol Rosa,,BRA,27, 5.43, 55, 4.17, 48, 1.38, 47, 68, 0.0
Khalil Rountree Jr.,,USA,27, 3.67, 38, 4.19, 50, 0.00, 0, 54, 0.1
Brandon Royval,Raw Dawg,USA,31, 3.45, 38, 2.63, 50, 0.66, 100, 39, 2.3
Jairzinho Rozenstruik,Bigi Boy,SUR,31, 2.81, 45, 3.15, 45, 0.00, 0, 73, 0.0
Pat Sabatini,,USA,29, 1.95, 59, 1.35, 51, 3.83, 45, 42, 1.9
Frankie Saenz,,USA,31, 3.94, 47, 3.50, 52, 1.74, 31, 61, 0.1
Augusto Sakai,,BRA,31, 4.60, 49, 3.83, 48, 0.23, 40, 56, 0.0
Cory Sandhagen,,USA,31, 5.98, 44, 3.90, 57, 0.89, 21, 64, 0.3
Leonardo Santos,,PER,27, 2.82, 46, 3.40, 54, 0.88, 25, 86, 0.2
Thiago Santos,Marreta,PER,28, 3.72, 48, 2.57, 53, 0.88, 33, 65, 0.1
Taila Santos,,PER,28, 3.35, 50, 2.43, 59, 2.29, 88, 78, 1.3
Daniel Santos,Willycat,PER,31, 4.26, 37, 5.12, 50, 1.90, 50, 73, 0.0
Jeka Saragih,,INA,31, 2.77, 51, 2.56, 42, 1.89, 100, 60, 0.6
Matt Schnell,Danger,USA,27, 4.24, 39, 4.46, 55, 0.63, 44, 46, 1.1
Edmen Shahbazyan,The Golden Boy,USA,31, 3.46, 51, 4.13, 43, 2.17, 39, 63, 0.6
Chase Sherman,The Vanilla Gorilla,USA,27, 6.04, 45, 6.65, 52, 0.09, 50, 74, 0.0
Antonina Shevchenko,La Pantera,KGZ,31, 3.86, 55, 2.93, 52, 0.43, 42, 53, 0.4
Liudvik Sholinian,Palmeyros,UKR,27, 2.50, 30, 5.67, 55, 0.00, 0, 66, 0.0
Jack Shore,Tank,WAL,31, 3.84, 58, 2.20, 57, 3.42, 40, 79, 0.7
Joaquim Silva,Netto BJJ,BRA,34, 3.71, 40, 4.79, 52, 0.17, 50, 58, 0.5
Mayra Bueno Silva,Sheetara,BRA,27, 4.20, 54, 4.71, 58, 0.38, 50, 67, 1.5
Bruno Silva,Bulldog,BRA,31, 3.05, 46, 3.09, 59, 2.57, 30, 64, 0.3
Bruno Silva,Blindado,BRA,31, 4.45, 48, 4.71, 48, 0.56, 18, 73, 0.0
Karine Silva,Killer,BRA,34, 2.39, 26, 3.43, 35, 2.24, 50, 0, 4.5
Douglas Silva de Andrade,D Silva,USA,31, 3.66, 38, 3.99, 58, 0.61, 46, 70, 0.2
Joe Solecki,,USA,34, 2.24, 55, 1.53, 52, 2.51, 50, 50, 1.6
Song Yadong,Kung Fu Kid,CHN,28, 4.61, 42, 3.77, 59, 0.53, 55, 72, 0.2
Punahele Soriano,Puna,USA,29, 4.04, 45, 4.22, 48, 0.90, 40, 30, 0.0
Ryan Spann,Superman,USA,29, 3.28, 44, 3.32, 48, 1.64, 37, 45, 1.9
Cody Stamann,The Spartan,USA,31, 4.39, 47, 3.63, 62, 2.34, 39, 76, 0.0
Julija Stoliarenko,,LTU,34, 2.75, 41, 4.61, 44, 0.70, 25, 62, 1.2
Dustin Stoltzfus,,USA,31, 2.96, 41, 3.28, 46, 1.76, 35, 46, 0.5
Sean Strickland,,USA,29, 5.86, 41, 4.28, 62, 1.00, 64, 84, 0.2
Tatiana Suarez,,USA,28, 4.35, 66, 1.34, 49, 6.12, 58, 100, 0.8
Justin Tafa,Bad Man,AUS,34, 5.02, 54, 5.95, 49, 0.00, 0, 100, 0.0
Khalid Taha,The Warrior,GER,27,LpM: 2.64, 32, 4.12, 46, 0.00, 0, 61, 0.2
Tatsuro Taira,,JPN,28, 2.79, 64, 1.05, 54, 2.62, 35, 60, 3.7
Miesha Tate,Cupcake,USA,27, 2.61, 44, 3.10, 51, 1.88, 29, 55, 1.3
Brad Tavares,,USA,31, 3.32, 42, 3.06, 56, 0.85, 26, 80, 0.0
Glover Teixeira,,BRA,31, 3.73, 49, 4.43, 51, 2.11, 33, 60, 0.9
David Teymur,,SWE,31, 4.69, 43, 3.53, 55, 0.94, 33, 77, 0.0
Darren Till,The Gorilla,ENG,31, 2.30, 46, 3.31, 56, 0.55, 46, 69, 0.0
Denis Tiuliulin,,RUS,31, 5.35, 42, 6.07, 41, 0.00, 0, 72, 0.0
Ilia Topuria,El Matador,GEO,31, 4.44, 46, 3.05, 67, 2.19, 56, 92, 1.5
Tecia Torres,The Tiny Tornado,BRA,28, 4.74, 48, 3.59, 61, 0.66, 14, 61, 0.1
Manuel Torres,El Loco,USA,27, 9.66, 58, 3.76, 56, 0.00, 0, 100, 0.0
Michael Trizano,The Lone Wolf,USA,27, 3.63, 53, 4.40, 50, 0.36, 66, 72, 0.5
Arman Tsarukyan,Ahalkalakets,RUS,31, 3.82, 48, 1.91, 54, 3.43, 36, 75, 0.0
Gavin Tucker,Guv'nor,CAN,31, 4.39, 45, 4.28, 57, 2.98, 42, 53, 1.5
Tai Tuivasa,Bam Bam,AUS,28, 4.10, 49, 4.46, 45, 0.00, 0, 52, 0.0
Zubaira Tukhugov,Warrior,RUS,28, 3.17, 39, 3.07, 63, 2.13, 39, 100, 0.0
Ricky Turcios,,USA,29, 5.08, 37, 3.70, 55, 1.00, 25, 45, 0.2
Wellington Turman,The Prodigy,BRA,28, 3.04, 49, 3.87, 46, 1.49, 19, 45, 0.8
Jalin Turner,The Tarantula,USA,31, 5.63, 46, 3.79, 43, 0.89, 66, 74, 1.6
Marcin Tybura,Tybur,POL,27, 3.55, 48, 3.31, 55, 1.39, 33, 79, 0.1
Tagir Ulanbekov,,RUS,28, 3.35, 44, 3.29, 54, 3.81, 42, 61, 0.9
Carlos Ulberg,Black Jag,NZL,31, 8.13, 62, 3.45, 52, 0.92, 100, 100, 0.0
Gilbert Urbina,The RGV Bad Boy,USA,31, 6.33, 60, 4.09, 47, 3.96, 50, 0, 1.0
Cameron VanCamp,Jumpman,USA,31, 5.31, 47, 6.41, 40, 0.00, 0, 0, 0.0
Jared Vanderaa,,USA,31, 4.96, 44, 5.67, 45, 0.18, 50, 20, 0.0
Lando Vannata,Groovy,USA,27, 4.52, 45, 4.76, 55, 1.09, 37, 69, 0.3
Marlon Vera,Chito,ECU,27, 4.09, 49, 5.02, 51, 0.61, 40, 69, 1.0
Marvin Vettori,The Italian Dream,ITA,27, 4.56, 45, 4.24, 56, 1.66, 45, 69, 0.5
Polyana Viana,Dama de Ferro,BRA,29, 3.50, 41, 2.86, 54, 0.80, 33, 50, 2.4
Ketlen Vieira,Fenomeno,BRA,27, 3.24, 41, 4.16, 51, 1.36, 40, 92, 0.4
Rodolfo Vieira,,BRA,29, 3.36, 54, 4.84, 48, 3.70, 26, 100, 1.4
Cheyanne Vlismas,The Warrior Princess,USA,27, 4.93, 50, 2.57, 64, 0.25, 33, 66, 0.2
Alexander Volkov,Drago,RUS,31, 4.89, 57, 3.00, 53, 0.51, 70, 73, 0.1
Johnny Walker,,BRA,34, 3.85, 56, 2.58, 46, 0.51, 100, 60, 1.0
Chris Weidman,The All-American,USA,27, 3.03, 43, 3.14, 52, 3.92, 47, 65, 0.9
Robert Whittaker,The Reaper,AUS,29, 4.48, 42, 3.26, 61, 0.82, 37, 84, 0.0
Deron Winn,,USA,31, 4.55, 44, 6.21, 46, 4.28, 52, 40, 0.0
Nathaniel Wood,The Prospect,ENG,29, 6.34, 48, 4.42, 57, 1.81, 54, 73, 0.6
Sean Woodson,The Sniper,USA,29, 5.56, 45, 4.26, 56, 0.00, 0, 82, 0.7
Jordan Wright,The Beverly Hills Ninja,USA,34, 4.10, 56, 6.03, 31, 2.09, 45, 100, 0.4
Wu Yanan,Mulan,CHN,28, 4.23, 41, 4.95, 49, 0.62, 30, 63, 0.2
Yan Xiaonan,,CHN,28, 5.55, 44, 3.56, 61, 0.86, 66, 70, 0.0
Petr Yan,No Mercy,RUS,29, 5.03, 53, 4.26, 59, 1.71, 52, 85, 0.1
Adrian Yanez,,USA,29, 6.75, 40, 5.89, 59, 0.00, 0, 100, 0.0
Aiemann Zahabi,,CAN,35, 3.04, 43, 3.40, 72, 0.25, 16, 75, 0.0
Youssef Zalal,The Moroccan Devil,MAR,28, 2.75, 48, 1.75, 64, 2.14, 31, 60, 1.1
Zhang Weili,Magnum,CHN,28, 5.79, 47, 4.06, 53, 1.97, 34, 66, 0.5
Zhalgas Zhumagulov,,KAZ,28, 5.24, 43, 5.86, 52, 1.30, 19, 75, 0.2
