full_nm,nickname,country,age_in_2023,sig_str_pm,str_acc_percentage,str_abs_pm,str_def_percentage,td_avg_15m,td_acc_percentage,td_def_percentage,sub_avg_15m
Danny Chavez,The Colombian Warrior,USA,31, 2.86, 38, 3.83, 50, 1.95, 60, 87, 0.0
Macy Chiasson,,USA,27, 3.64, 44, 2.61, 46, 2.17, 34, 64, 0.3
Giga Chikadze,Ninja,GEO,31, 4.05, 42, 3.35, 62, 0.26, 33, 69, 0.3
Katlyn Chookagian,Blonde Fighter,USA,33, 4.59, 34, 4.41, 63, 0.27, 15, 54, 0.3
Misha Cirkunov,,CAN,27, 3.86, 51, 3.06, 57, 4.15, 39, 76, 1.7
Devin Clark,Brown Bear,USA,31, 2.99, 55, 2.95, 43, 2.35, 33, 60, 0.1
Jessica-Rose Clark,,AUS,31, 3.73, 51, 3.51, 58, 1.66, 42, 62, 0.3
Felipe Colares,Cabocao,BRA,31, 2.17, 45, 4.65, 36, 1.88, 24, 43, 0.5
Jake Collier,The Prototype,USA,31, 5.81, 43, 5.01, 50, 0.79, 33, 67, 0.5
Tracy Cortez,,USA,28, 3.56, 54, 2.32, 59, 2.80, 48, 71, 0.4
Paulo Costa,The Eraser,BRA,29, 6.50, 60, 6.38, 47, 0.53, 75, 79, 0.0
Randy Costa,The Zohan,BRA,29, 6.53, 46, 7.58, 58, 0.00, 0, 50, 0.0
Paul Craig,Bearjew,SCT,29, 2.44, 46, 2.88, 47, 1.81, 20, 50, 1.7
Jimmy Crute,,AUS,31, 3.67, 55, 3.04, 45, 5.19, 64, 60, 2.3
Zak Cummings,,USA,28, 2.96, 35, 2.91, 55, 0.62, 28, 66, 0.6
Chris Curtis,Action-Man,USA,27, 5.36, 50, 6.30, 54, 0.00, 0, 92, 0.0
Jarjis Danho,Man Mountain,BEL,31, 3.38, 50, 5.25, 49, 0.51, 16, 100, 0.0
Beneil Dariush,,IRI,31, 3.79, 49, 2.63, 58, 1.91, 34, 80, 0.9
Kyle Daukaus,,USA,27, 3.22, 52, 2.94, 42, 2.12, 25, 82, 1.9
Chris Daukaus,,JPN,27, 6.41, 50, 4.48, 57, 0.00, 0, 100, 0.0
Mike Davis,,USA,27, 0.00, 0, 0.00, 0, 0.00, 0, 0, 0.0
Brandon Davis,Killer B,USA,31, 4.68, 35, 4.62, 58, 0.74, 42, 57, 0.1
Mike Davis,Beast Boy,USA,27, 5.83, 52, 6.20, 56, 3.04, 53, 69, 0.2
Hakeem Dawodu,Mean,CAN,31, 5.33, 50, 3.15, 57, 0.00, 0, 65, 0.0
Grant Dawson,KGD,USA,31, 2.99, 51, 2.22, 46, 3.70, 36, 40, 1.5
Montana De La Rosa,,USA,29, 2.47, 37, 3.06, 42, 1.94, 31, 64, 0.9
Vanessa Demopoulos,Lil Monster,USA,28, 3.71, 42, 5.61, 43, 0.58, 13, 50, 0.8
Mackenzie Dern,,USA,27, 3.36, 40, 4.09, 51, 0.81, 15, 40, 1.5
Alessio Di Chirico,Manzo,ITA,34, 3.32, 39, 3.44, 61, 1.46, 39, 83, 0.0
Marc Diakiese,Bonecrusher,ENG,27, 2.73, 40, 2.63, 53, 3.33, 43, 67, 0.0
TJ Dillashaw,,USA,28, 5.09, 41, 3.47, 62, 1.56, 30, 77, 0.8
Drew Dober,,USA,31, 4.48, 39, 4.50, 51, 0.69, 17, 56, 0.1
Roman Dolidze,,GEO,29, 3.02, 44, 3.01, 55, 1.72, 50, 33, 1.7
Rafael Dos Anjos,,BRA,29, 3.56, 47, 3.21, 61, 2.05, 35, 59, 0.6
Dricus Du Plessis,Stillknocks,USA,31, 6.72, 55, 3.73, 53, 2.83, 47, 50, 1.3
Emily Ducote,Gordinha,USA,31, 6.64, 46, 8.38, 54, 0.00, 0, 90, 0.0
Norma Dumont,The Immortal,BRA,29, 3.45, 48, 2.07, 67, 1.16, 57, 72, 0.0
Albert Duraev,,RUS,34, 2.94, 40, 2.53, 63, 2.07, 27, 50, 0.7
Cody Durden,,USA,31, 3.27, 50, 3.21, 48, 5.73, 48, 71, 0.2
Merab Dvalishvili,The Machine,GEO,27, 4.46, 41, 2.41, 56, 6.55, 36, 78, 0.3
Frankie Edgar,The Answer,USA,31, 3.77, 40, 2.82, 65, 2.29, 31, 65, 0.3
Joselyne Edwards,La Pantera,PAN,34, 5.30, 52, 3.48, 51, 0.33, 15, 64, 0.2
Stephanie Egger,,SUI,28, 1.93, 53, 2.08, 53, 3.04, 40, 50, 0.8
Evan Elder,The Phenom,USA,31, 3.78, 48, 5.42, 43, 0.59, 12, 28, 0.0
Darren Elkins,The Damage,USA,31, 3.53, 38, 3.35, 51, 2.73, 34, 58, 1.1
Tim Elliott,,USA,28, 3.47, 44, 2.76, 56, 3.88, 47, 60, 0.9
Jamall Emmers,Pretty Boy,USA,31, 4.95, 47, 3.79, 57, 1.98, 40, 90, 0.2
Josh Emmett,CC0,USA,34, 4.07, 36, 4.66, 61, 0.92, 37, 46, 0.1
Julian Erosa,Juicy J,USA,34, 6.22, 48, 6.35, 47, 1.66, 46, 61, 0.6
Juan Espino,El Guapo,ESP,34, 2.38, 70, 1.95, 40, 8.93, 78, 50, 2.4
Sijara Eubanks,SarJ,USA,29, 4.30, 43, 3.43, 57, 1.90, 44, 66, 0.3
Ashlee Evans-Smith,Rebel Girl,USA,31, 4.54, 34, 4.69, 55, 1.10, 23, 66, 0.0
Movsar Evloev,,RUS,29, 4.57, 49, 2.74, 61, 4.71, 50, 71, 0.3
Rinat Fakhretdinov,Gladiator,RUS,29, 3.20, 67, 0.78, 57, 5.82, 63, 100, 0.5
Tony Ferguson,El Cucuy,USA,28, 5.07, 45, 3.95, 58, 0.44, 41, 66, 1.0
Gabriella Fernandes,Gabi,BRA,31, 1.63, 47, 2.70, 47, 0.00, 0, 61, 0.0
Francisco Figueiredo,Sniper,BRA,31, 2.04, 61, 2.59, 61, 2.51, 75, 76, 0.4
Andre Fili,Touchy,USA,31, 3.83, 37, 4.03, 52, 2.38, 49, 69, 0.3
Manon Fiorot,The Beast,FRA,27, 6.58, 42, 3.14, 71, 1.69, 50, 83, 0.0
